mode,circuit_id,selected_step_index,matrix_size,nnz_A,selected_edge_budget,interface_solve_mode,direct_solve_baseline,gmres_used,gmres_iterations,gmres_info,true_rel_residual,chosen_success,setup_time,solve_time,total_wall_time,peak_rss_kb,status,timeout_hit,P_nnz,P_factor_fill_nnz,failure_stage,failure_reason
interface_basis_schur_low_rank_r1_sparse,4,2,432,2840,,,False,True,7,0,5.217697322883248e-11,True,0.07147539593279362,0.034518356900662184,0.11852465802803636,388628,ok,False,53,83,,
interface_basis_schur_low_rank_r2_sparse,4,2,432,2840,,,False,True,7,0,1.8337127021256248e-11,True,0.06743017910048366,0.035411238204687834,0.11574735771864653,388676,ok,False,53,83,,
interface_basis_schur_low_rank_r4_sparse,4,2,432,2840,,,False,True,7,0,1.9850295904730734e-11,True,0.06730714812874794,0.03406050521880388,0.1144396960735321,388660,ok,False,53,83,,
semantic_cell_core_sparse,8,3,354,2218,,,False,True,14,0,1.4558412903367392e-09,True,0.01316426694393158,0.0037706000730395317,0.03038900112733245,386284,ok,False,,,,
local_sparse_schur_sparse,8,3,354,2218,4096,spilu,False,True,9,0,6.62724030180899e-10,True,0.05142977135255933,0.032879209611564875,0.09559696586802602,387052,ok,False,65,100,,
interface_basis_constant_r1_sparse,8,3,354,2218,,,False,True,9,0,6.627240301872509e-10,True,0.057368132285773754,0.032455361913889647,0.100167250726372,389652,ok,False,65,100,,
interface_basis_constant_r2_sparse,8,3,354,2218,,,False,True,9,0,6.627240301872509e-10,True,0.05909190932288766,0.03178119193762541,0.10015584016218781,389628,ok,False,65,100,,
interface_basis_constant_r4_sparse,8,3,354,2218,,,False,True,9,0,6.627240301872509e-10,True,0.15053126588463783,0.03339985013008118,0.1962768016383052,389620,ok,False,65,100,,
interface_basis_graph_laplacian_r1_sparse,8,3,354,2218,,,False,True,9,0,6.627240301872509e-10,True,0.05224682902917266,0.03163341386243701,0.09350600792095065,389756,ok,False,65,100,,
interface_basis_graph_laplacian_r2_sparse,8,3,354,2218,,,False,True,9,0,6.627240302028492e-10,True,0.059315208811312914,0.03527622390538454,0.1049535539932549,389760,ok,False,65,100,,
interface_basis_graph_laplacian_r4_sparse,8,3,354,2218,,,False,True,9,0,6.627240303912951e-10,True,0.04846577998250723,0.03129110997542739,0.08896541921421885,389892,ok,False,65,100,,
interface_basis_snapshot_pod_r1_sparse,8,3,354,2218,,,False,True,9,0,6.627240303116185e-10,True,0.05166792869567871,0.033998148050159216,0.0947909876704216,389768,ok,False,65,100,,
interface_basis_snapshot_pod_r2_sparse,8,3,354,2218,,,False,True,9,0,6.627240301510124e-10,True,0.05162090016528964,0.03377617010846734,0.09452083008363843,389776,ok,False,65,100,,
interface_basis_snapshot_pod_r4_sparse,8,3,354,2218,,,False,True,9,0,6.627240302672643e-10,True,0.05320598464459181,0.03332149423658848,0.09613555995747447,389788,ok,False,65,100,,
interface_basis_schur_low_rank_r1_sparse,8,3,354,2218,,,False,True,9,0,6.627240303729334e-10,True,0.0623132330365479,0.03390795784071088,0.10802905494347215,389728,ok,False,65,100,,
interface_basis_schur_low_rank_r2_sparse,8,3,354,2218,,,False,True,9,0,6.627240302718358e-10,True,0.05830952478572726,0.03275613812729716,0.10029849922284484,389868,ok,False,65,100,,
interface_basis_schur_low_rank_r4_sparse,8,3,354,2218,,,False,True,9,0,6.627240301642965e-10,True,0.0515336561948061,0.03206693101674318,0.0940839471295476,389748,ok,False,65,100,,
semantic_cell_core_sparse,11,4,364,2384,,,False,True,8,0,1.0114601768917774e-10,True,0.0070722270756959915,0.002046183217316866,0.019565511029213667,386472,ok,False,,,,
local_sparse_schur_sparse,11,4,364,2384,4096,spilu,False,True,7,0,1.3645716429976373e-11,True,0.043127247132360935,0.029521418269723654,0.08299170015379786,387212,ok,False,45,69,,
interface_basis_constant_r1_sparse,11,4,364,2384,,,False,True,7,0,8.023647922904055e-12,True,0.059213337022811174,0.0293692909181118,0.10120526608079672,389056,ok,False,45,69,,
interface_basis_constant_r2_sparse,11,4,364,2384,,,False,True,7,0,9.958878844349803e-12,True,0.05063037481158972,0.028767467942088842,0.08977328008040786,389096,ok,False,45,69,,
interface_basis_constant_r4_sparse,11,4,364,2384,,,False,True,7,0,8.65702541574552e-12,True,0.09139457298442721,0.04801043216139078,0.1570477052591741,389136,ok,False,45,69,,
interface_basis_graph_laplacian_r1_sparse,11,4,364,2384,,,False,True,7,0,1.3658294050590938e-11,True,0.05041930824518204,0.027834751643240452,0.08809193409979343,389124,ok,False,45,69,,
interface_basis_graph_laplacian_r2_sparse,11,4,364,2384,,,False,True,7,0,8.489226785473522e-12,True,0.056467074900865555,0.029555222019553185,0.0969976233318448,389192,ok,False,45,69,,
interface_basis_graph_laplacian_r4_sparse,11,4,364,2384,,,False,True,7,0,7.994441920573929e-12,True,0.05913930665701628,0.028966733254492283,0.09871648019179702,389264,ok,False,45,69,,
interface_basis_snapshot_pod_r1_sparse,11,4,364,2384,,,False,True,7,0,1.3657634827492798e-11,True,0.051503137685358524,0.028495727106928825,0.09023781539872289,389148,ok,False,45,69,,
interface_basis_snapshot_pod_r2_sparse,11,4,364,2384,,,False,True,7,0,1.3628643079876902e-11,True,0.059018610045313835,0.02920992113649845,0.09869880694895983,389196,ok,False,45,69,,
interface_basis_snapshot_pod_r4_sparse,11,4,364,2384,,,False,True,7,0,1.7749245330554902e-11,True,0.05525862006470561,0.029860485810786486,0.095483492128551,389176,ok,False,45,69,,
